absolutističnostima | ABSOLUTISTIČNOST - [pravopis]
stereomagnetofonoma | STEREOMAGNETOFON - stereofonski magnetofon
stereoselektivnosti | STEREOSELEKTIVNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje pretežno eden izmed stereoizomerov
stereospecifičnosti | STEREOSPECIFIČNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje samo eden izmed stereoizomerov
stereotipiziranjema | STEREOTIPIZIRANJE - glagolnik od stereotipizirati
stilnoformacijskega | STILNOFORMACIJSKI - [pravopis]
stilnoformacijskemu | STILNOFORMACIJSKI - [pravopis]
stilnoformacijskima | STILNOFORMACIJSKI - [pravopis]
stilnoformacijskimi | STILNOFORMACIJSKI - [pravopis]
strahopezdljivčevem | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivčevih | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivčevim | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivostih | STRAHOPEZDLJIVOST
strahopezdljivostim | STRAHOPEZDLJIVOST
strahopezdljivostjo | STRAHOPEZDLJIVOST
strahopezdljivostma | STRAHOPEZDLJIVOST
strahopezdljivostmi | STRAHOPEZDLJIVOST
strahospoštovanjema | STRAHOSPOŠTOVANJE - spoštovanje iz strahu
stratificiranostima | STRATIFICIRANOST - [pravopis]
strokovnjakaričinem | STROKOVNJAKARIČIN - [pravopis]
strokovnjakaričinih | STROKOVNJAKARIČIN - [pravopis]
strokovnjakaričinim | STROKOVNJAKARIČIN - [pravopis]
strokovnjakarstvoma | STROKOVNJAKARSTVO - ravnanje, s katerim se kaže navidezna, pretirana strokovnost
strokovnomedicinska | STROKOVNOMEDICINSKI - [epravopis] nanašajoč se na medicinsko stroko
strokovnomedicinske | STROKOVNOMEDICINSKI - [epravopis] nanašajoč se na medicinsko stroko
strokovnomedicinski | [epravopis] nanašajoč se na medicinsko stroko
strokovnomedicinsko | STROKOVNOMEDICINSKI - [epravopis] nanašajoč se na medicinsko stroko
strokovnopoklicnega | STROKOVNOPOKLICEN - [pravopis]
strokovnopoklicnemu | STROKOVNOPOKLICEN - [pravopis]
strokovnopoklicnima | STROKOVNOPOKLICEN - [pravopis]
strokovnopoklicnimi | STROKOVNOPOKLICEN - [pravopis]
strokovnoteoretičen | [pravopis]
strokovnoteoretična | STROKOVNOTEORETIČEN - [pravopis]
strokovnoteoretične | STROKOVNOTEORETIČEN - [pravopis]
strokovnoteoretični | STROKOVNOTEORETIČEN - [pravopis]
strokovnoteoretično | STROKOVNOTEORETIČEN - [pravopis]
strukturalističnega | STRUKTURALISTIČEN - nanašajoč se na strukturaliste ali strukturalizem
strukturalističnemu | STRUKTURALISTIČEN - nanašajoč se na strukturaliste ali strukturalizem
strukturalističnima | STRUKTURALISTIČEN - nanašajoč se na strukturaliste ali strukturalizem
strukturalističnimi | STRUKTURALISTIČEN - nanašajoč se na strukturaliste ali strukturalizem
sturmunddrangovcema | STURMUNDDRANGOVEC - [pravopis]
sturmunddrangovčeva | STURMUNDDRANGOVČEV - [pravopis]
sturmunddrangovčeve | STURMUNDDRANGOVČEV - [pravopis]
sturmunddrangovčevi | STURMUNDDRANGOVČEV - [pravopis]
sturmunddrangovčevo | STURMUNDDRANGOVČEV - [pravopis]
sturmunddrangovskem | STURMUNDDRANGOVSKI - [pravopis]
sturmunddrangovskih | STURMUNDDRANGOVSKI - [pravopis]
sturmunddrangovskim | STURMUNDDRANGOVSKI - [pravopis]
subkonjunktivalnega | SUBKONJUNKTIVALEN - [farm.] v zvezi »subkonjunktivalna uporaba«: aplikacija zdravila pod očesno veznico
subkonjunktivalnemu | SUBKONJUNKTIVALEN - [farm.] v zvezi »subkonjunktivalna uporaba«: aplikacija zdravila pod očesno veznico
subkonjunktivalnima | SUBKONJUNKTIVALEN - [farm.] v zvezi »subkonjunktivalna uporaba«: aplikacija zdravila pod očesno veznico
subkonjunktivalnimi | SUBKONJUNKTIVALEN - [farm.] v zvezi »subkonjunktivalna uporaba«: aplikacija zdravila pod očesno veznico
substantiviranostih | SUBSTANTIVIRANOST - [pravopis]
substantiviranostim | SUBSTANTIVIRANOST - [pravopis]
substantiviranostjo | SUBSTANTIVIRANOST - [pravopis]
substantiviranostma | SUBSTANTIVIRANOST - [pravopis]
substantiviranostmi | SUBSTANTIVIRANOST - [pravopis]
supercivilizacijama | SUPERCIVILIZACIJA - zelo razvita civilizacija
supercivilizacijami | SUPERCIVILIZACIJA - zelo razvita civilizacija
superkombinacijskem | SUPERKOMBINACIJSKI - [smuč.] v zvezi »superkombinacijska tekma«: tekma, pri kateri določa uvrstitev tekmovalca seštevek časov v smuku na krajši progi ali v superveleslalomu in v enem teku slaloma
superkombinacijskih | SUPERKOMBINACIJSKI - [smuč.] v zvezi »superkombinacijska tekma«: tekma, pri kateri določa uvrstitev tekmovalca seštevek časov v smuku na krajši progi ali v superveleslalomu in v enem teku slaloma
superkombinacijskim | SUPERKOMBINACIJSKI - [smuč.] v zvezi »superkombinacijska tekma«: tekma, pri kateri določa uvrstitev tekmovalca seštevek časov v smuku na krajši progi ali v superveleslalomu in v enem teku slaloma
superveleslalomista | SUPERVELESLALOMIST - [smuč.] moški, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
superveleslalomiste | SUPERVELESLALOMIST - [smuč.] moški, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
superveleslalomisti | SUPERVELESLALOMIST - [smuč.] moški, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
superveleslalomistk | SUPERVELESLALOMISTKA - [smuč.] ženska, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
superveleslalomistu | SUPERVELESLALOMIST - [smuč.] moški, ki se ljubiteljsko ali tekmovalno ukvarja s superveleslalomom
superveleslalomskem | SUPERVELESLALOMSKI - [pravopis]
superveleslalomskih | SUPERVELESLALOMSKI - [pravopis]
superveleslalomskim | SUPERVELESLALOMSKI - [pravopis]
supranaturalističen | nanašajoč se na supranaturalizem
supranaturalistična | SUPRANATURALISTIČEN - nanašajoč se na supranaturalizem
supranaturalistične | SUPRANATURALISTIČEN - nanašajoč se na supranaturalizem
supranaturalistični | SUPRANATURALISTIČEN - nanašajoč se na supranaturalizem
supranaturalistično | SUPRANATURALISTIČEN - nanašajoč se na supranaturalizem
surrealističnostima | SURREALISTIČNOST - [pravopis]
sužnjeposestniškega | SUŽNJEPOSESTNIŠKI
sužnjeposestniškemu | SUŽNJEPOSESTNIŠKI
sužnjeposestniškima | SUŽNJEPOSESTNIŠKI
sužnjeposestniškimi | SUŽNJEPOSESTNIŠKI
svetlorumenorjavega | SVETLORUMENORJAV - [sinonimni]
svetlorumenorjavemu | SVETLORUMENORJAV - [sinonimni]
svetlorumenorjavima | SVETLORUMENORJAV - [sinonimni]
svetlorumenorjavimi | SVETLORUMENORJAV - [sinonimni]
svetlovijoličastega | SVETLOVIJOLIČAST - [sinonimni]
svetlovijoličastemu | SVETLOVIJOLIČAST - [sinonimni]
svetlovijoličastima | SVETLOVIJOLIČAST - [sinonimni]
svetlovijoličastimi | SVETLOVIJOLIČAST - [sinonimni]
svetorimskocesarska | SVETORIMSKOCESARSKI - [pravopis]
svetorimskocesarske | SVETORIMSKOCESARSKI - [pravopis]
svetorimskocesarski | [pravopis]
svetorimskocesarsko | SVETORIMSKOCESARSKI - [pravopis]
svetovnopolitičnega | SVETOVNOPOLITIČEN - nanašajoč se na svetovno politiko
svetovnopolitičnemu | SVETOVNOPOLITIČEN - nanašajoč se na svetovno politiko
svetovnopolitičnima | SVETOVNOPOLITIČEN - nanašajoč se na svetovno politiko
svetovnopolitičnimi | SVETOVNOPOLITIČEN - nanašajoč se na svetovno politiko
svetovnozgodovinska | SVETOVNOZGODOVINSKI - nanašajoč se na svetovno zgodovino
svetovnozgodovinske | SVETOVNOZGODOVINSKI - nanašajoč se na svetovno zgodovino
svetovnozgodovinski | nanašajoč se na svetovno zgodovino
svetovnozgodovinsko | SVETOVNOZGODOVINSKI - nanašajoč se na svetovno zgodovino
svobodoljubničinega | SVOBODOLJUBNIČIN - [pravopis]
svobodoljubničinemu | SVOBODOLJUBNIČIN - [pravopis]
svobodoljubničinima | SVOBODOLJUBNIČIN - [pravopis]
svobodoljubničinimi | SVOBODOLJUBNIČIN - [pravopis]
svobodomiselnostima | SVOBODOMISELNOST - lastnost svobodomiselnega človeka
šestdesetletničinem | ŠESTDESETLETNIČIN - [pravopis]
šestdesetletničinih | ŠESTDESETLETNIČIN - [pravopis]
šestdesetletničinim | ŠESTDESETLETNIČIN - [pravopis]
šestindevetdesetega | ŠESTINDEVETDESETI - ki v zapovrstju ustreza številu šestindevetdeset
šestindevetdesetemu | ŠESTINDEVETDESETI - ki v zapovrstju ustreza številu šestindevetdeset
šestindevetdesetima | ŠESTINDEVETDESETI - ki v zapovrstju ustreza številu šestindevetdeset
šestindevetdesetimi | ŠESTINDEVETDESETI - ki v zapovrstju ustreza številu šestindevetdeset
šestinsedemdesetega | ŠESTINSEDEMDESETI - ki v zapovrstju ustreza številu šestinsedemdeset
šestinsedemdesetemu | ŠESTINSEDEMDESETI - ki v zapovrstju ustreza številu šestinsedemdeset
šestinsedemdesetima | ŠESTINSEDEMDESETI - ki v zapovrstju ustreza številu šestinsedemdeset
šestinsedemdesetimi | ŠESTINSEDEMDESETI - ki v zapovrstju ustreza številu šestinsedemdeset
šestinštiridesetega | ŠESTINŠTIRIDESETI - ki v zapovrstju ustreza številu šestinštirideset
šestinštiridesetemu | ŠESTINŠTIRIDESETI - ki v zapovrstju ustreza številu šestinštirideset
šestinštiridesetima | ŠESTINŠTIRIDESETI - ki v zapovrstju ustreza številu šestinštirideset
šestinštiridesetimi | ŠESTINŠTIRIDESETI - ki v zapovrstju ustreza številu šestinštirideset
šestnajstletničinem | ŠESTNAJSTLETNIČIN - [pravopis]
šestnajstletničinih | ŠESTNAJSTLETNIČIN - [pravopis]
šestnajstletničinim | ŠESTNAJSTLETNIČIN - [pravopis]
škandaliziranostima | ŠKANDALIZIRANOST - [pravopis]
šmarješkotopliškega | ŠMARJEŠKOTOPLIŠKI - [pravopis]
šmarješkotopliškemu | ŠMARJEŠKOTOPLIŠKI - [pravopis]
šmarješkotopliškima | ŠMARJEŠKOTOPLIŠKI - [pravopis]
šmarješkotopliškimi | ŠMARJEŠKOTOPLIŠKI - [pravopis]
šolskoizobraževalen | [pravopis]
šolskoizobraževalna | ŠOLSKOIZOBRAŽEVALEN - [pravopis]
šolskoizobraževalne | ŠOLSKOIZOBRAŽEVALEN - [pravopis]
šolskoizobraževalni | ŠOLSKOIZOBRAŽEVALEN - [pravopis]
šolskoizobraževalno | ŠOLSKOIZOBRAŽEVALEN - [pravopis]
športnomedicinskega | ŠPORTNOMEDICINSKI - nanašajoč se na športno medicino
športnomedicinskemu | ŠPORTNOMEDICINSKI - nanašajoč se na športno medicino
športnomedicinskima | ŠPORTNOMEDICINSKI - nanašajoč se na športno medicino
športnomedicinskimi | ŠPORTNOMEDICINSKI - nanašajoč se na športno medicino
športnonovinarskega | ŠPORTNONOVINARSKI - [epravopis] nanašajoč se na športno novinarstvo
športnonovinarskemu | ŠPORTNONOVINARSKI - [epravopis] nanašajoč se na športno novinarstvo
športnonovinarskima | ŠPORTNONOVINARSKI - [epravopis] nanašajoč se na športno novinarstvo
športnonovinarskimi | ŠPORTNONOVINARSKI - [epravopis] nanašajoč se na športno novinarstvo
športnorekreacijska | ŠPORTNOREKREACIJSKI - nanašajoč se na športno rekreacijo
športnorekreacijske | ŠPORTNOREKREACIJSKI - nanašajoč se na športno rekreacijo
športnorekreacijski | nanašajoč se na športno rekreacijo
športnorekreacijsko | ŠPORTNOREKREACIJSKI - nanašajoč se na športno rekreacijo
štiridesetletnicama | ŠTIRIDESETLETNICA - štirideseta obletnica
štiridesetletnicami | ŠTIRIDESETLETNICA - štirideseta obletnica
štiridesetletničina | ŠTIRIDESETLETNIČIN - [pravopis]
štiridesetletničine | ŠTIRIDESETLETNIČIN - [pravopis]
štiridesetletničini | ŠTIRIDESETLETNIČIN - [pravopis]
štiridesetletničino | ŠTIRIDESETLETNIČIN - [pravopis]
štiridesetletnikoma | ŠTIRIDESETLETNIK - štirideset let star moški
štiridimenzionalnem | ŠTIRIDIMENZIONALEN - ki ima štiri dimenzije, razsežnosti
štiridimenzionalnih | ŠTIRIDIMENZIONALEN - ki ima štiri dimenzije, razsežnosti
štiridimenzionalnim | ŠTIRIDIMENZIONALEN - ki ima štiri dimenzije, razsežnosti
štiriindevetdesetem | ŠTIRIINDEVETDESETI - ki v zapovrstju ustreza številu štiriindevetdeset
štiriindevetdesetih | ŠTIRIINDEVETDESETI - ki v zapovrstju ustreza številu štiriindevetdeset
štiriindevetdesetim | ŠTIRIINDEVETDESETI - ki v zapovrstju ustreza številu štiriindevetdeset
štiriindvajsetercem | ŠTIRIINDVAJSETEREC - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra šest enakokrakih trikotnikov
štiriindvajsetercev | ŠTIRIINDVAJSETEREC - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra šest enakokrakih trikotnikov
štiriindvajsetercih | ŠTIRIINDVAJSETEREC - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi tetraedra šest enakokrakih trikotnikov
štiriinosemdesetega | ŠTIRIINOSEMDESETI - ki v zapovrstju ustreza številu štiriinosemdeset
štiriinosemdesetemu | ŠTIRIINOSEMDESETI - ki v zapovrstju ustreza številu štiriinosemdeset
štiriinosemdesetima | ŠTIRIINOSEMDESETI - ki v zapovrstju ustreza številu štiriinosemdeset
štiriinosemdesetimi | ŠTIRIINOSEMDESETI - ki v zapovrstju ustreza številu štiriinosemdeset
štiriinsedemdesetem | ŠTIRIINSEDEMDESETI - ki v zapovrstju ustreza številu štiriinsedemdeset
štiriinsedemdesetih | ŠTIRIINSEDEMDESETI - ki v zapovrstju ustreza številu štiriinsedemdeset
štiriinsedemdesetim | ŠTIRIINSEDEMDESETI - ki v zapovrstju ustreza številu štiriinsedemdeset
štiriinšestdesetega | ŠTIRIINŠESTDESETI - ki v zapovrstju ustreza številu štiriinšestdeset
štiriinšestdesetemu | ŠTIRIINŠESTDESETI - ki v zapovrstju ustreza številu štiriinšestdeset
štiriinšestdesetima | ŠTIRIINŠESTDESETI - ki v zapovrstju ustreza številu štiriinšestdeset
štiriinšestdesetimi | ŠTIRIINŠESTDESETI - ki v zapovrstju ustreza številu štiriinšestdeset
štiriinštiridesetem | ŠTIRIINŠTIRIDESETI - ki v zapovrstju ustreza številu štiriinštirideset
štiriinštiridesetih | ŠTIRIINŠTIRIDESETI - ki v zapovrstju ustreza številu štiriinštirideset
štiriinštiridesetim | ŠTIRIINŠTIRIDESETI - ki v zapovrstju ustreza številu štiriinštirideset
štirinadstropnicama | ŠTIRINADSTROPNICA - štirinadstropna hiša
štirinadstropnicami | ŠTIRINADSTROPNICA - štirinadstropna hiša
štirinajstdnevnikih | ŠTIRINAJSTDNEVNIK - vsakih štirinajst dni izhajajoča publikacija s specializirano vsebino
štirinajstdnevnikom | ŠTIRINAJSTDNEVNIK - vsakih štirinajst dni izhajajoča publikacija s specializirano vsebino
štirinajstdnevnikov | ŠTIRINAJSTDNEVNIK - vsakih štirinajst dni izhajajoča publikacija s specializirano vsebino
štirinajstletnicama | ŠTIRINAJSTLETNICA - štirinajsta obletnica
štirinajstletnicami | ŠTIRINAJSTLETNICA - štirinajsta obletnica
štirinajstletničina | ŠTIRINAJSTLETNIČIN - [pravopis]
štirinajstletničine | ŠTIRINAJSTLETNIČIN - [pravopis]
štirinajstletničini | ŠTIRINAJSTLETNIČIN - [pravopis]
štirinajstletničino | ŠTIRINAJSTLETNIČIN - [pravopis]
štirinajstletnikoma | ŠTIRINAJSTLETNIK - štirinajst let star fant
tafrogeosinklinalah | TAFROGEOSINKLINALA - [geol.] dolg, izrazit jarek, omejen z vzporednimi ali približno vzporednimi normalnimi prelomi, ki nastajajo zaradi raztezanja in tanjšanja kontinentalne skorje, npr. Vzhodnoafriški riftni jarek
tafrogeosinklinalam | TAFROGEOSINKLINALA - [geol.] dolg, izrazit jarek, omejen z vzporednimi ali približno vzporednimi normalnimi prelomi, ki nastajajo zaradi raztezanja in tanjšanja kontinentalne skorje, npr. Vzhodnoafriški riftni jarek
teledirigiranostima | TELEDIRIGIRANOST - [pravopis]
teleinformacijskega | TELEINFORMACIJSKI - nanašajoč se na teleinformatiko
teleinformacijskemu | TELEINFORMACIJSKI - nanašajoč se na teleinformatiko
teleinformacijskima | TELEINFORMACIJSKI - nanašajoč se na teleinformatiko
teleinformacijskimi | TELEINFORMACIJSKI - nanašajoč se na teleinformatiko
telekomunikacijskem | TELEKOMUNIKACIJSKI - nanašajoč se na telekomunikacijo
telekomunikacijskih | TELEKOMUNIKACIJSKI - nanašajoč se na telekomunikacijo
telekomunikacijskim | TELEKOMUNIKACIJSKI - nanašajoč se na telekomunikacijo
tenorsaksofonistkah | TENORSAKSOFONISTKA - [pravopis]
tenorsaksofonistkam | TENORSAKSOFONISTKA - [pravopis]
tenorsaksofonistoma | TENORSAKSOFONIST - kdor igra tenorsaksofon
teritorializacijama | TERITORIALIZACIJA - prenehanje, odprava koncentracije, dekoncentracija
teritorializacijami | TERITORIALIZACIJA - prenehanje, odprava koncentracije, dekoncentracija
terminologizacijama | TERMINOLOGIZACIJA - uporaba izraza, ki je v svojem osnovnem pomenu del splošne rabe, za poimenovanje strokovnega pojma
terminologizacijami | TERMINOLOGIZACIJA - uporaba izraza, ki je v svojem osnovnem pomenu del splošne rabe, za poimenovanje strokovnega pojma
termoakumulacijskem | TERMOAKUMULACIJSKI - nanašajoč se na akumuliranje toplote
termoakumulacijskih | TERMOAKUMULACIJSKI - nanašajoč se na akumuliranje toplote
termoakumulacijskim | TERMOAKUMULACIJSKI - nanašajoč se na akumuliranje toplote
termoelektrarniškem | TERMOELEKTRARNIŠKI - [pravopis]
termoelektrarniških | TERMOELEKTRARNIŠKI - [pravopis]
termoelektrarniškim | TERMOELEKTRARNIŠKI - [pravopis]
termogravimetrijama | TERMOGRAVIMETRIJA - [farm.] tehnika termične analize, pri kateri se meri spreminjanje mase vzorca neke snovi v odvisnosti od naraščajoče temperature
termogravimetrijami | TERMOGRAVIMETRIJA - [farm.] tehnika termične analize, pri kateri se meri spreminjanje mase vzorca neke snovi v odvisnosti od naraščajoče temperature
termokondenzacijama | TERMOKONDENZACIJA - [bot.] prehajanje vodne pare v nočnem času iz toplejših in globljih plasti tal v površinske plasti tal, kjer zaradi nižjih temperatur tal para kondenzira
termokondenzacijami | TERMOKONDENZACIJA - [bot.] prehajanje vodne pare v nočnem času iz toplejših in globljih plasti tal v površinske plasti tal, kjer zaradi nižjih temperatur tal para kondenzira
termoluminiscencama | TERMOLUMINISCENCA - [sprotni]
termoluminiscencami | TERMOLUMINISCENCA - [sprotni]
termomikroskopijama | TERMOMIKROSKOPIJA - [farm.] metoda termične analize, ki omogoča opazovanje vzorca pri programirani spremembi temperature z uporabo mikroskopa in polarizirane svetlobe
termomikroskopijami | TERMOMIKROSKOPIJA - [farm.] metoda termične analize, ki omogoča opazovanje vzorca pri programirani spremembi temperature z uporabo mikroskopa in polarizirane svetlobe
tetragontrioktaeder | [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri deltoide
tetragontrioktaedra | TETRAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri deltoide
tetragontrioktaedre | TETRAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri deltoide
tetragontrioktaedri | TETRAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri deltoide
tetragontrioktaedru | TETRAGONTRIOKTAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi oktaedra tri deltoide
tetrahidrokanabinol | [bot.]
tetrakisheksaedroma | TETRAKISHEKSAEDER - [geol.] kristalni lik v kubičnem kristalografskem sistemu, ki ima na vsaki ploskvi kocke štiristrano piramido
težkoindustrijskega | TEŽKOINDUSTRIJSKI - nanašajoč se na težko industrijo
težkoindustrijskemu | TEŽKOINDUSTRIJSKI - nanašajoč se na težko industrijo
težkoindustrijskima | TEŽKOINDUSTRIJSKI - nanašajoč se na težko industrijo
težkoindustrijskimi | TEŽKOINDUSTRIJSKI - nanašajoč se na težko industrijo
težkooboroženčevega | TEŽKOOBOROŽENČEV - [pravopis]
težkooboroženčevemu | TEŽKOOBOROŽENČEV - [pravopis]
težkooboroženčevima | TEŽKOOBOROŽENČEV - [pravopis]
težkooboroženčevimi | TEŽKOOBOROŽENČEV - [pravopis]
tiosemikarbazonskem | TIOSEMIKARBAZONSKI - > TIOSEMIKARBAZONI - [farm.] protivirusne učinkovine s tiosemikarbazonsko skupino, vezano na heterocikel, ki zavirajo sintezo proteinov, npr. metisazon
tiosemikarbazonskih | TIOSEMIKARBAZONSKI - > TIOSEMIKARBAZONI - [farm.] protivirusne učinkovine s tiosemikarbazonsko skupino, vezano na heterocikel, ki zavirajo sintezo proteinov, npr. metisazon
tiosemikarbazonskim | TIOSEMIKARBAZONSKI - > TIOSEMIKARBAZONI - [farm.] protivirusne učinkovine s tiosemikarbazonsko skupino, vezano na heterocikel, ki zavirajo sintezo proteinov, npr. metisazon
toplotnoizolacijska | TOPLOTNOIZOLACIJSKI - nanašajoč se na toplotno izolacijo
toplotnoizolacijske | TOPLOTNOIZOLACIJSKI - nanašajoč se na toplotno izolacijo
toplotnoizolacijski | nanašajoč se na toplotno izolacijo
toplotnoizolacijsko | TOPLOTNOIZOLACIJSKI - nanašajoč se na toplotno izolacijo
tradicionalističnem | TRADICIONALISTIČEN - nanašajoč se na tradicionaliste ali tradicionalizem
tradicionalističnih | TRADICIONALISTIČEN - nanašajoč se na tradicionaliste ali tradicionalizem
tradicionalističnim | TRADICIONALISTIČEN - nanašajoč se na tradicionaliste ali tradicionalizem
transavantgardistih | TRANSAVANTGARDIST - predstavnik transavantgarde
transavantgardistom | TRANSAVANTGARDIST - predstavnik transavantgarde
transavantgardistov | TRANSAVANTGARDIST - predstavnik transavantgarde
transcedentalnostih | TRANSCEDENTALNOST - [pravopis]
transcedentalnostim | TRANSCEDENTALNOST - [pravopis]
transcedentalnostjo | TRANSCEDENTALNOST - [pravopis]
transcedentalnostma | TRANSCEDENTALNOST - [pravopis]
transcedentalnostmi | TRANSCEDENTALNOST - [pravopis]
transcendenčnostima | TRANSCENDENČNOST - [pravopis]
transcendentalizmih | TRANSCENDENTALIZEM - filozofska smer, ki poudarja od izkustva neodvisne pogoje spoznavanja
transcendentalizmom | TRANSCENDENTALIZEM - filozofska smer, ki poudarja od izkustva neodvisne pogoje spoznavanja
transcendentalizmov | TRANSCENDENTALIZEM - filozofska smer, ki poudarja od izkustva neodvisne pogoje spoznavanja
transcendentalnosti | TRANSCENDENTALNOST - lastnost, značilnost transcendentalnega
transcendentnostima | TRANSCENDENTNOST - lastnost, značilnost transcendentnega
transdisciplinarnem | TRANSDISCIPLINAREN - ki temelji na sodelovanju, združevanju dveh ali več mnogovrstnih in raznovrstnih disciplin, ved
transdisciplinarnih | TRANSDISCIPLINAREN - ki temelji na sodelovanju, združevanju dveh ali več mnogovrstnih in raznovrstnih disciplin, ved
transdisciplinarnim | TRANSDISCIPLINAREN - ki temelji na sodelovanju, združevanju dveh ali več mnogovrstnih in raznovrstnih disciplin, ved
transfuziologinjama | TRANSFUZIOLOGINJA - [pravopis]
transfuziologinjami | TRANSFUZIOLOGINJA - [pravopis]
transistoriziranega | TRANZISTORIZIRATI - opremiti s tranzistorji
transistoriziranemu | TRANZISTORIZIRATI - opremiti s tranzistorji
transistoriziranima | TRANZISTORIZIRATI - opremiti s tranzistorji
transistoriziranimi | TRANZISTORIZIRATI - opremiti s tranzistorji
transkontinentalnem | TRANSKONTINENTALEN - ki poteka ali se giblje z ene strani celine na drugo
transkontinentalnih | TRANSKONTINENTALEN - ki poteka ali se giblje z ene strani celine na drugo
transkontinentalnim | TRANSKONTINENTALEN - ki poteka ali se giblje z ene strani celine na drugo
transliteracijskega | TRANSLITERACIJSKI - [geog.] v zvezi »transliteracijska abeceda«: abeceda, ki se uporablja za zapis besed v tujih jezikih, zapisanih z drugačno, nelatinično pisavo
transliteracijskemu | TRANSLITERACIJSKI - [geog.] v zvezi »transliteracijska abeceda«: abeceda, ki se uporablja za zapis besed v tujih jezikih, zapisanih z drugačno, nelatinično pisavo
transliteracijskima | TRANSLITERACIJSKI - [geog.] v zvezi »transliteracijska abeceda«: abeceda, ki se uporablja za zapis besed v tujih jezikih, zapisanih z drugačno, nelatinično pisavo
transliteracijskimi | TRANSLITERACIJSKI - [geog.] v zvezi »transliteracijska abeceda«: abeceda, ki se uporablja za zapis besed v tujih jezikih, zapisanih z drugačno, nelatinično pisavo
transnacionalizacij | TRANSNACIONALIZACIJA - širjenje delovanja in vpliva prek državnih meja
transparentpapirjem | TRANSPARENTPAPIR - [sinonimni]
transparentpapirjev | TRANSPARENTPAPIR - [sinonimni]
transparentpapirjih | TRANSPARENTPAPIR - [sinonimni]
transplantacijskega | TRANSPLANTACIJSKI - nanašajoč se na transplantacijo
transplantacijskemu | TRANSPLANTACIJSKI - nanašajoč se na transplantacijo
transplantacijskima | TRANSPLANTACIJSKI - nanašajoč se na transplantacijo
transplantacijskimi | TRANSPLANTACIJSKI - nanašajoč se na transplantacijo
transplantiranostih | TRANSPLANTIRANOST - [pravopis]
transplantiranostim | TRANSPLANTIRANOST - [pravopis]
transplantiranostjo | TRANSPLANTIRANOST - [pravopis]
transplantiranostma | TRANSPLANTIRANOST - [pravopis]
transplantiranostmi | TRANSPLANTIRANOST - [pravopis]
transplantologijama | TRANSPLANTOLOGIJA - [sinonimni]
transplantologijami | TRANSPLANTOLOGIJA - [sinonimni]
transportirančevega | TRANSPORTIRANČEV - [pravopis]
transportirančevemu | TRANSPORTIRANČEV - [pravopis]
transportirančevima | TRANSPORTIRANČEV - [pravopis]
transportirančevimi | TRANSPORTIRANČEV - [pravopis]
transportiranostima | TRANSPORTIRANOST - [pravopis]
transseksualnostima | TRANSSEKSUALNOST - hormonska in kirurška sprememba spola
transsubstanciacija | sprememba bistva kruha in vina v bistvo Kristusovega telesa in krvi
transsubstanciacije | TRANSSUBSTANCIACIJA - sprememba bistva kruha in vina v bistvo Kristusovega telesa in krvi
transsubstanciaciji | TRANSSUBSTANCIACIJA - sprememba bistva kruha in vina v bistvo Kristusovega telesa in krvi
transsubstanciacijo | TRANSSUBSTANCIACIJA - sprememba bistva kruha in vina v bistvo Kristusovega telesa in krvi
tranzistoriziranega | TRANZISTORIZIRATI - opremiti s tranzistorji
tranzistoriziranemu | TRANZISTORIZIRATI - opremiti s tranzistorji
tranzistoriziranima | TRANZISTORIZIRATI - opremiti s tranzistorji
tranzistoriziranimi | TRANZISTORIZIRATI - opremiti s tranzistorji
tranzitnoprometnega | TRANZITNOPROMETEN - [pravopis]
tranzitnoprometnemu | TRANZITNOPROMETEN - [pravopis]
tranzitnoprometnima | TRANZITNOPROMETEN - [pravopis]
tranzitnoprometnimi | TRANZITNOPROMETEN - [pravopis]
travmatiziranostima | TRAVMATIZIRANOST - [pravopis]
tretjekategornikoma | TRETJEKATEGORNIK - kdor igra, tekmuje v tretji kategoriji
tretjenagrajenčevem | TRETJENAGRAJENČEV - [pravopis]
