acilfloroglucinoloma | ACILFLOROGLUCINOL - [farm.]
samoiniciativnostima | SAMOINICIATIVNOST - lastnost, značilnost samoiniciativnega človeka
samoinkompatibilnega | SAMOINKOMPATIBILEN - [bot.] v zvezi »samoinkompatibilni genotip«: genotip rastline, katerega pelod zaradi genskih lastnosti ne more oprašiti cvetov istega genotipa
samoinkompatibilnemu | SAMOINKOMPATIBILEN - [bot.] v zvezi »samoinkompatibilni genotip«: genotip rastline, katerega pelod zaradi genskih lastnosti ne more oprašiti cvetov istega genotipa
samoinkompatibilnima | SAMOINKOMPATIBILEN - [bot.] v zvezi »samoinkompatibilni genotip«: genotip rastline, katerega pelod zaradi genskih lastnosti ne more oprašiti cvetov istega genotipa
samoinkompatibilnimi | SAMOINKOMPATIBILEN - [bot.] v zvezi »samoinkompatibilni genotip«: genotip rastline, katerega pelod zaradi genskih lastnosti ne more oprašiti cvetov istega genotipa
samoizobraževalnosti | SAMOIZOBRAŽEVALNOST - [pravopis]
samoizpopolnjevanjem | SAMOIZPOPOLNJEVANJE - izpopolnjevanje samega sebe
samoizpopolnjevanjih | SAMOIZPOPOLNJEVANJE - izpopolnjevanje samega sebe
samomikroemulgirajoč | [farm.] v zvezi »samomikroemulgirajoči sistem«: zmes lipidov, površinsko aktivnih snovi in učinkovine, ki v stiku z vodnim medijem ob rahlem mešanju hitro in spontano tvori mikroemulzijo olje v vodi
samonadzorovanostima | SAMONADZOROVANOST - [pravopis]
samonastavljivostima | SAMONASTAVLJIVOST - [pravopis]
samoobremenjevanjema | SAMOOBREMENJEVANJE - [prav.] ravnanje ali navajanje trditev domnevnega storilca kaznivega dejanja, ki so v kazenskem postopku njemu v škodo
samoobsebiumevnostih | SAMOOBSEBIUMEVNOST - dejstvo, da je kaj sámo ob sebi umevno
samoobsebiumevnostim | SAMOOBSEBIUMEVNOST - dejstvo, da je kaj sámo ob sebi umevno
samoobsebiumevnostjo | SAMOOBSEBIUMEVNOST - dejstvo, da je kaj sámo ob sebi umevno
samoobsebiumevnostma | SAMOOBSEBIUMEVNOST - dejstvo, da je kaj sámo ob sebi umevno
samoobsebiumevnostmi | SAMOOBSEBIUMEVNOST - dejstvo, da je kaj sámo ob sebi umevno
samoočiščevalnostima | SAMOOČIŠČEVALNOST - [pravopis]
samoohranitvenostima | SAMOOHRANITVENOST - [pravopis]
samoposebiumevnostih | SAMOPOSEBIUMEVNOST - dejstvo, da je kaj sámo po sebi umevno
samoposebiumevnostim | SAMOPOSEBIUMEVNOST - dejstvo, da je kaj sámo po sebi umevno
samoposebiumevnostjo | SAMOPOSEBIUMEVNOST - dejstvo, da je kaj sámo po sebi umevno
samoposebiumevnostma | SAMOPOSEBIUMEVNOST - dejstvo, da je kaj sámo po sebi umevno
samoposebiumevnostmi | SAMOPOSEBIUMEVNOST - dejstvo, da je kaj sámo po sebi umevno
samopoveličevalnosti | SAMOPOVELIČEVALNOST - [pravopis]
samopožrtvovalnostih | SAMOPOŽRTVOVALNOST
samopožrtvovalnostim | SAMOPOŽRTVOVALNOST
samopožrtvovalnostjo | SAMOPOŽRTVOVALNOST
samopožrtvovalnostma | SAMOPOŽRTVOVALNOST
samopožrtvovalnostmi | SAMOPOŽRTVOVALNOST
samoprevodljivostima | SAMOPREVODLJIVOST - [pravopis]
samoregulacijskostih | SAMOREGULACIJSKOST - [pravopis]
samoregulacijskostim | SAMOREGULACIJSKOST - [pravopis]
samoregulacijskostjo | SAMOREGULACIJSKOST - [pravopis]
samoregulacijskostma | SAMOREGULACIJSKOST - [pravopis]
samoregulacijskostmi | SAMOREGULACIJSKOST - [pravopis]
samozadovoljevanjema | SAMOZADOVOLJEVANJE - draženje svojih spolnih organov navadno za dosego orgazma
samozaljubljenostima | SAMOZALJUBLJENOST - lastnost človeka, ki zelo občuduje samega sebe
samozatajevalnostima | SAMOZATAJEVALNOST - [pravopis]
secesionističnostima | SECESIONISTIČNOST - [pravopis]
sedemdesetletničinem | SEDEMDESETLETNIČIN - [pravopis]
sedemdesetletničinih | SEDEMDESETLETNIČIN - [pravopis]
sedemdesetletničinim | SEDEMDESETLETNIČIN - [pravopis]
sedemindevetdesetega | SEDEMINDEVETDESETI - ki v zapovrstju ustreza številu sedemindevetdeset
sedemindevetdesetemu | SEDEMINDEVETDESETI - ki v zapovrstju ustreza številu sedemindevetdeset
sedemindevetdesetima | SEDEMINDEVETDESETI - ki v zapovrstju ustreza številu sedemindevetdeset
sedemindevetdesetimi | SEDEMINDEVETDESETI - ki v zapovrstju ustreza številu sedemindevetdeset
sedemindvajsetericah | SEDEMINDVAJSETERICA - [sprotni]
sedemindvajsetericam | SEDEMINDVAJSETERICA - [sprotni]
sedeminsedemdesetega | SEDEMINSEDEMDESETI - ki v zapovrstju ustreza številu sedeminsedemdeset
sedeminsedemdesetemu | SEDEMINSEDEMDESETI - ki v zapovrstju ustreza številu sedeminsedemdeset
sedeminsedemdesetima | SEDEMINSEDEMDESETI - ki v zapovrstju ustreza številu sedeminsedemdeset
sedeminsedemdesetimi | SEDEMINSEDEMDESETI - ki v zapovrstju ustreza številu sedeminsedemdeset
sedeminštiridesetega | SEDEMINŠTIRIDESETI - ki v zapovrstju ustreza številu sedeminštirideset
sedeminštiridesetemu | SEDEMINŠTIRIDESETI - ki v zapovrstju ustreza številu sedeminštirideset
sedeminštiridesetima | SEDEMINŠTIRIDESETI - ki v zapovrstju ustreza številu sedeminštirideset
sedeminštiridesetimi | SEDEMINŠTIRIDESETI - ki v zapovrstju ustreza številu sedeminštirideset
sedemnajstletničinem | SEDEMNAJSTLETNIČIN - [pravopis]
sedemnajstletničinih | SEDEMNAJSTLETNIČIN - [pravopis]
sedemnajstletničinim | SEDEMNAJSTLETNIČIN - [pravopis]
seizmostratigrafijah | SEIZMOSTRATIGRAFIJA - [geol.] stratigrafija plasti, določena na podlagi seizmike (2)
seizmostratigrafijam | SEIZMOSTRATIGRAFIJA - [geol.] stratigrafija plasti, določena na podlagi seizmike (2)
senzacionalističnega | SENZACIONALISTIČEN - ki vzbuja razburjenje, govorice v javnosti
senzacionalističnemu | SENZACIONALISTIČEN - ki vzbuja razburjenje, govorice v javnosti
senzacionalističnima | SENZACIONALISTIČEN - ki vzbuja razburjenje, govorice v javnosti
senzacionalističnimi | SENZACIONALISTIČEN - ki vzbuja razburjenje, govorice v javnosti
senzacionalističnost | [pravopis]
severnoitalijanskega | SEVERNOITALIJANSKI - [pravopis]
severnoitalijanskemu | SEVERNOITALIJANSKI - [pravopis]
severnoitalijanskima | SEVERNOITALIJANSKI - [pravopis]
severnoitalijanskimi | SEVERNOITALIJANSKI - [pravopis]
severnoledenomorskem | SEVERNOLEDENOMORSKI - [pravopis]
severnoledenomorskih | SEVERNOLEDENOMORSKI - [pravopis]
severnoledenomorskim | SEVERNOLEDENOMORSKI - [pravopis]
severnoteritorijskem | SEVERNOTERITORIJSKI - [pravopis]
severnoteritorijskih | SEVERNOTERITORIJSKI - [pravopis]
severnoteritorijskim | SEVERNOTERITORIJSKI - [pravopis]
severoseverozahodoma | SEVEROSEVEROZAHOD - smer na nebu ali zemlji med severom in severozahodom
shakespearologinjama | SHAKESPEAROLOGINJA - [pravopis]
shakespearologinjami | SHAKESPEAROLOGINJA - [pravopis]
shakespearoslovčevem | SHAKESPEAROSLOVČEV - [pravopis]
shakespearoslovčevih | SHAKESPEAROSLOVČEV - [pravopis]
shakespearoslovčevim | SHAKESPEAROSLOVČEV - [pravopis]
sistematiziranostima | SISTEMATIZIRANOST - [pravopis]
skomercializiranosti | SKOMERCIALIZIRANOST - lastnost, značilnost skomercializiranega
skonvencionalizirajo | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirala | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirale | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirali | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionaliziralo | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionaliziramo | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirana | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirane | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirani | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirano | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirata | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirate | SKONVENCIONALIZIRATI - narediti konvencionalno
skonvencionalizirati | narediti konvencionalno
skonvencionalizirava | SKONVENCIONALIZIRATI - narediti konvencionalno
skupinskolastniškega | SKUPINSKOLASTNIŠKI - [pravopis]
skupinskolastniškemu | SKUPINSKOLASTNIŠKI - [pravopis]
skupinskolastniškima | SKUPINSKOLASTNIŠKI - [pravopis]
skupinskolastniškimi | SKUPINSKOLASTNIŠKI - [pravopis]
slonokoščenoobalskem | SLONOKOŠČENOOBALSKI - [epravopis] 
slonokoščenoobalskih | SLONOKOŠČENOOBALSKI - [epravopis] 
slonokoščenoobalskim | SLONOKOŠČENOOBALSKI - [epravopis] 
slovenskobistriškega | SLOVENSKOBISTRIŠKI - [pravopis]
slovenskobistriškemu | SLOVENSKOBISTRIŠKI - [pravopis]
slovenskobistriškima | SLOVENSKOBISTRIŠKI - [pravopis]
slovenskobistriškimi | SLOVENSKOBISTRIŠKI - [pravopis]
slovenskoštajerskega | SLOVENSKOŠTAJERSKI - nanašajoč se na slovenski del Štajerske v stari Avstriji
slovenskoštajerskemu | SLOVENSKOŠTAJERSKI - nanašajoč se na slovenski del Štajerske v stari Avstriji
slovenskoštajerskima | SLOVENSKOŠTAJERSKI - nanašajoč se na slovenski del Štajerske v stari Avstriji
slovenskoštajerskimi | SLOVENSKOŠTAJERSKI - nanašajoč se na slovenski del Štajerske v stari Avstriji
slovstvenofolklornem | SLOVSTVENOFOLKLOREN - [pravopis]
slovstvenofolklornih | SLOVSTVENOFOLKLOREN - [pravopis]
slovstvenofolklornim | SLOVSTVENOFOLKLOREN - [pravopis]
slovstvenokritičnega | SLOVSTVENOKRITIČEN
slovstvenokritičnemu | SLOVSTVENOKRITIČEN
slovstvenokritičnima | SLOVSTVENOKRITIČEN
slovstvenokritičnimi | SLOVSTVENOKRITIČEN
socialdemokratičnega | SOCIALDEMOKRATIČEN
socialdemokratičnemu | SOCIALDEMOKRATIČEN
socialdemokratičnima | SOCIALDEMOKRATIČEN
socialdemokratičnimi | SOCIALDEMOKRATIČEN
socialnodemokratičen | nanašajoč se na socialno demokracijo
socialnodemokratična | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratične | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratični | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratično | SOCIALNODEMOKRATIČEN - nanašajoč se na socialno demokracijo
socialnodemokratskem | SOCIALNODEMOKRATSKI - nanašajoč se na socialne demokrate ali socialno demokracijo
socialnodemokratskih | SOCIALNODEMOKRATSKI - nanašajoč se na socialne demokrate ali socialno demokracijo
socialnodemokratskim | SOCIALNODEMOKRATSKI - nanašajoč se na socialne demokrate ali socialno demokracijo
socialnogospodarskem | SOCIALNOGOSPODARSKI - [pravopis]
socialnogospodarskih | SOCIALNOGOSPODARSKI - [pravopis]
socialnogospodarskim | SOCIALNOGOSPODARSKI - [pravopis]
socialnopsihološkega | SOCIALNOPSIHOLOŠKI - psihološki v povezavi s čim socialnim
socialnopsihološkemu | SOCIALNOPSIHOLOŠKI - psihološki v povezavi s čim socialnim
socialnopsihološkima | SOCIALNOPSIHOLOŠKI - psihološki v povezavi s čim socialnim
socialnopsihološkimi | SOCIALNOPSIHOLOŠKI - psihološki v povezavi s čim socialnim
socialnorealističnem | SOCIALNOREALISTIČEN - nanašajoč se na socialni realizem
socialnorealističnih | SOCIALNOREALISTIČEN - nanašajoč se na socialni realizem
socialnorealističnim | SOCIALNOREALISTIČEN - nanašajoč se na socialni realizem
socialnoskrbstvenega | SOCIALNOSKRBSTVEN - nanašajoč se na socialno skrbstvo
socialnoskrbstvenemu | SOCIALNOSKRBSTVEN - nanašajoč se na socialno skrbstvo
socialnoskrbstvenima | SOCIALNOSKRBSTVEN - nanašajoč se na socialno skrbstvo
socialnoskrbstvenimi | SOCIALNOSKRBSTVEN - nanašajoč se na socialno skrbstvo
socialnozdravstvenem | SOCIALNOZDRAVSTVEN - nanašajoč se na zdravstvo v povezavi s čim socialnim
socialnozdravstvenih | SOCIALNOZDRAVSTVEN - nanašajoč se na zdravstvo v povezavi s čim socialnim
socialnozdravstvenim | SOCIALNOZDRAVSTVEN - nanašajoč se na zdravstvo v povezavi s čim socialnim
socialnozgodovinskem | SOCIALNOZGODOVINSKI - nanašajoč se na zgodovino v povezavi s čim socialnim
socialnozgodovinskih | SOCIALNOZGODOVINSKI - nanašajoč se na zgodovino v povezavi s čim socialnim
socialnozgodovinskim | SOCIALNOZGODOVINSKI - nanašajoč se na zgodovino v povezavi s čim socialnim
soorganizatoričinega | SOORGANIZATORIČIN - [pravopis]
soorganizatoričinemu | SOORGANIZATORIČIN - [pravopis]
soorganizatoričinima | SOORGANIZATORIČIN - [pravopis]
soorganizatoričinimi | SOORGANIZATORIČIN - [pravopis]
sopovzročiteljičinem | SOPOVZROČITELJIČIN - [pravopis]
sopovzročiteljičinih | SOPOVZROČITELJIČIN - [pravopis]
sopovzročiteljičinim | SOPOVZROČITELJIČIN - [pravopis]
sopredlagateljičinem | SOPREDLAGATELJIČIN - [pravopis]
sopredlagateljičinih | SOPREDLAGATELJIČIN - [pravopis]
sopredlagateljičinim | SOPREDLAGATELJIČIN - [pravopis]
soustanoviteljičinem | SOUSTANOVITELJIČIN - [pravopis]
soustanoviteljičinih | SOUSTANOVITELJIČIN - [pravopis]
soustanoviteljičinim | SOUSTANOVITELJIČIN - [pravopis]
soustanoviteljstvoma | SOUSTANOVITELJSTVO - dejstvo, da je kdo soustanovitelj
soutemeljiteljičinem | SOUTEMELJITELJIČIN - [pravopis]
soutemeljiteljičinih | SOUTEMELJITELJIČIN - [pravopis]
soutemeljiteljičinim | SOUTEMELJITELJIČIN - [pravopis]
spektrofotometričnem | SPEKTROFOTOMETRIČEN - > OKSIMETRIJA - [farm.] plinska analiza, ki vključuje tudi spektrofotometrične meritve nekaterih vrst hemoglobinov v krvi in omogoča točnejšo določitev nasičenja hemoglobina s kisikom v krvi preiskovanca
spektrofotometričnih | SPEKTROFOTOMETRIČEN - > OKSIMETRIJA - [farm.] plinska analiza, ki vključuje tudi spektrofotometrične meritve nekaterih vrst hemoglobinov v krvi in omogoča točnejšo določitev nasičenja hemoglobina s kisikom v krvi preiskovanca
spektrofotometričnim | SPEKTROFOTOMETRIČEN - > OKSIMETRIJA - [farm.] plinska analiza, ki vključuje tudi spektrofotometrične meritve nekaterih vrst hemoglobinov v krvi in omogoča točnejšo določitev nasičenja hemoglobina s kisikom v krvi preiskovanca
splošnoizobrazbenega | SPLOŠNOIZOBRAZBEN - nanašajoč se na splošno izobrazbo
splošnoizobrazbenemu | SPLOŠNOIZOBRAZBEN - nanašajoč se na splošno izobrazbo
splošnoizobrazbenima | SPLOŠNOIZOBRAZBEN - nanašajoč se na splošno izobrazbo
splošnoizobrazbenimi | SPLOŠNOIZOBRAZBEN - nanašajoč se na splošno izobrazbo
splošnoizobraževalen | nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalna | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalne | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalni | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
splošnoizobraževalno | SPLOŠNOIZOBRAŽEVALEN - nanašajoč se na izobraževanje, ki obsega osnove vseh glavnih področij človekove dejavnosti
spodnjepleistocenska | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spodnjepleistocenske | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spodnjepleistocenski | > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spodnjepleistocensko | SPODNJEPLEISTOCENSKI - > CALABRIJSKI - [geol.] v zvezi »calabrijski nivo«: spodnjepleistocenske plasti s hladnoljubno morsko favno
spomeniškovarstvenem | SPOMENIŠKOVARSTVEN - nanašajoč se na spomeniško varstvo
spomeniškovarstvenih | SPOMENIŠKOVARSTVEN - nanašajoč se na spomeniško varstvo
spomeniškovarstvenim | SPOMENIŠKOVARSTVEN - nanašajoč se na spomeniško varstvo
spoznavnoteoretičnem | SPOZNAVNOTEORETIČEN - nanašajoč se na spoznavno teorijo
spoznavnoteoretičnih | SPOZNAVNOTEORETIČEN - nanašajoč se na spoznavno teorijo
spoznavnoteoretičnim | SPOZNAVNOTEORETIČEN - nanašajoč se na spoznavno teorijo
spoznavnoteoretskega | SPOZNAVNOTEORETSKI
spoznavnoteoretskemu | SPOZNAVNOTEORETSKI
spoznavnoteoretskima | SPOZNAVNOTEORETSKI
spoznavnoteoretskimi | SPOZNAVNOTEORETSKI
sprofesionalizirajmo | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sprofesionalizirajta | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sprofesionalizirajte | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sprofesionalizirajva | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sprofesionaliziranem | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sprofesionaliziranih | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sprofesionaliziranim | SPROFESIONALIZIRATI - narediti, da postane kaj poklicno
sproletariziranostih | SPROLETARIZIRANOST - [pravopis]
sproletariziranostim | SPROLETARIZIRANOST - [pravopis]
sproletariziranostjo | SPROLETARIZIRANOST - [pravopis]
sproletariziranostma | SPROLETARIZIRANOST - [pravopis]
sproletariziranostmi | SPROLETARIZIRANOST - [pravopis]
srednjedolgodelujoča | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjedolgodelujoče | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjedolgodelujoči | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjedolgodelujočo | SREDNJEDOLGODELUJOČ - [farm.] v zvezi »srednjedolgodelujoči sulfanilamid«: sulfanilamid z razpolovno dobo 8–20 ur, ki se v terapiji najpogosteje uporablja, npr. sulfametoksazol, sulfadiazin
srednjeevropejstvoma | SREDNJEEVROPEJSTVO - srednjeevropska kultura in miselnost
srednjeoligocenskega | SREDNJEOLIGOCENSKI - > CASTELGOMBERTSKI - [geol.] v zvezi »castelgombertski skladi«: srednjeoligocenske plasti iz okolice Castel Gomberta v severni Italiji
srednjeoligocenskemu | SREDNJEOLIGOCENSKI - > CASTELGOMBERTSKI - [geol.] v zvezi »castelgombertski skladi«: srednjeoligocenske plasti iz okolice Castel Gomberta v severni Italiji
srednjeoligocenskima | SREDNJEOLIGOCENSKI - > CASTELGOMBERTSKI - [geol.] v zvezi »castelgombertski skladi«: srednjeoligocenske plasti iz okolice Castel Gomberta v severni Italiji
srednjeoligocenskimi | SREDNJEOLIGOCENSKI - > CASTELGOMBERTSKI - [geol.] v zvezi »castelgombertski skladi«: srednjeoligocenske plasti iz okolice Castel Gomberta v severni Italiji
srednjepleistocenska | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjepleistocenske | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjepleistocenski | > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjepleistocensko | SREDNJEPLEISTOCENSKI - > HOTTINŠKI - [geol.] v zvezi »höttinška breča«: rdeč do bel, močno sprijet srednjepleistocenski pobočni grušč v dolini reke Inn pri Innsbrucku z vezivom, ki vsebuje pelod toploljubnega rastlinstva, npr. divje trte, pontskega sleča
srednjeprogašičinega | SREDNJEPROGAŠIČIN - [pravopis]
srednjeprogašičinemu | SREDNJEPROGAŠIČIN - [pravopis]
srednjeprogašičinima | SREDNJEPROGAŠIČIN - [pravopis]
srednjeprogašičinimi | SREDNJEPROGAŠIČIN - [pravopis]
srednjerazrednostima | SREDNJERAZREDNOST - [pravopis]
srednjevisokonemškem | SREDNJEVISOKONEMŠKI - ki sloni na osrednjih in južnih nemških narečjih od 11. do 16. stoletja
srednjevisokonemških | SREDNJEVISOKONEMŠKI - ki sloni na osrednjih in južnih nemških narečjih od 11. do 16. stoletja
srednjevisokonemškim | SREDNJEVISOKONEMŠKI - ki sloni na osrednjih in južnih nemških narečjih od 11. do 16. stoletja
standardiziranostima | STANDARDIZIRANOST - [pravopis]
starojugoslovanskega | STAROJUGOSLOVANSKI - nanašajoč se na staro Jugoslavijo
starojugoslovanskemu | STAROJUGOSLOVANSKI - nanašajoč se na staro Jugoslavijo
starojugoslovanskima | STAROJUGOSLOVANSKI - nanašajoč se na staro Jugoslavijo
starojugoslovanskimi | STAROJUGOSLOVANSKI - nanašajoč se na staro Jugoslavijo
stefanoaperturatnega | STEFANOAPERTURATEN - [bot.] v zvezi »stefanoaperturatni pelod«: pelod, katerega pelodna zrna imajo v ekvatorialnem pasu kalilne odprtine
stefanoaperturatnemu | STEFANOAPERTURATEN - [bot.] v zvezi »stefanoaperturatni pelod«: pelod, katerega pelodna zrna imajo v ekvatorialnem pasu kalilne odprtine
stefanoaperturatnima | STEFANOAPERTURATEN - [bot.] v zvezi »stefanoaperturatni pelod«: pelod, katerega pelodna zrna imajo v ekvatorialnem pasu kalilne odprtine
stefanoaperturatnimi | STEFANOAPERTURATEN - [bot.] v zvezi »stefanoaperturatni pelod«: pelod, katerega pelodna zrna imajo v ekvatorialnem pasu kalilne odprtine
stenodaktilografijah | STENODAKTILOGRAFIJA - pisanje s stenografskimi znaki in prepisovanje stenogramov na pisalni stroj
stenodaktilografijam | STENODAKTILOGRAFIJA - pisanje s stenografskimi znaki in prepisovanje stenogramov na pisalni stroj
stenodaktilografkama | STENODAKTILOGRAFKA - ženska, ki poklicno stenografira in prepisuje stenograme na pisalni stroj
stenodaktilografkami | STENODAKTILOGRAFKA - ženska, ki poklicno stenografira in prepisuje stenograme na pisalni stroj
stenodaktilografskem | STENODAKTILOGRAFSKI - nanašajoč se na stenodaktilografijo
stenodaktilografskih | STENODAKTILOGRAFSKI - nanašajoč se na stenodaktilografijo
stenodaktilografskim | STENODAKTILOGRAFSKI - nanašajoč se na stenodaktilografijo
stereofotogrametrija | fotografiranje zemeljskega površja s stereoskopskim fotografskim aparatom za izdelovanje zemljevidov
stereofotogrametrije | STEREOFOTOGRAMETRIJA - fotografiranje zemeljskega površja s stereoskopskim fotografskim aparatom za izdelovanje zemljevidov
stereofotogrametriji | STEREOFOTOGRAMETRIJA - fotografiranje zemeljskega površja s stereoskopskim fotografskim aparatom za izdelovanje zemljevidov
stereofotogrametrijo | STEREOFOTOGRAMETRIJA - fotografiranje zemeljskega površja s stereoskopskim fotografskim aparatom za izdelovanje zemljevidov
stereoselektivnostih | STEREOSELEKTIVNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje pretežno eden izmed stereoizomerov
stereoselektivnostim | STEREOSELEKTIVNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje pretežno eden izmed stereoizomerov
stereoselektivnostjo | STEREOSELEKTIVNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje pretežno eden izmed stereoizomerov
stereoselektivnostma | STEREOSELEKTIVNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje pretežno eden izmed stereoizomerov
stereoselektivnostmi | STEREOSELEKTIVNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje pretežno eden izmed stereoizomerov
stereospecifičnostih | STEREOSPECIFIČNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje samo eden izmed stereoizomerov
stereospecifičnostim | STEREOSPECIFIČNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje samo eden izmed stereoizomerov
stereospecifičnostjo | STEREOSPECIFIČNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje samo eden izmed stereoizomerov
stereospecifičnostma | STEREOSPECIFIČNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje samo eden izmed stereoizomerov
stereospecifičnostmi | STEREOSPECIFIČNOST - [farm.] pojav, ko lahko v določeni kemični reakciji ali biološkem procesu sodeluje samo eden izmed stereoizomerov
strahopezdljivčevega | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivčevemu | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivčevima | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivčevimi | STRAHOPEZDLJIVČEV - [pravopis]
strahopezdljivostima | STRAHOPEZDLJIVOST
strankarskopolitičen | nanašajoč se na strankarsko politiko
strankarskopolitična | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strankarskopolitične | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strankarskopolitični | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strankarskopolitično | STRANKARSKOPOLITIČEN - nanašajoč se na strankarsko politiko
strokovnjakaričinega | STROKOVNJAKARIČIN - [pravopis]
strokovnjakaričinemu | STROKOVNJAKARIČIN - [pravopis]
strokovnjakaričinima | STROKOVNJAKARIČIN - [pravopis]
strokovnjakaričinimi | STROKOVNJAKARIČIN - [pravopis]
strokovnomedicinskem | STROKOVNOMEDICINSKI - [epravopis] nanašajoč se na medicinsko stroko
strokovnomedicinskih | STROKOVNOMEDICINSKI - [epravopis] nanašajoč se na medicinsko stroko
strokovnomedicinskim | STROKOVNOMEDICINSKI - [epravopis] nanašajoč se na medicinsko stroko
strokovnoteoretičnem | STROKOVNOTEORETIČEN - [pravopis]
strokovnoteoretičnih | STROKOVNOTEORETIČEN - [pravopis]
strokovnoteoretičnim | STROKOVNOTEORETIČEN - [pravopis]
sturmunddrangovčevem | STURMUNDDRANGOVČEV - [pravopis]
